Species_Name,Species_Code,Comment
Amaioua corymbosa,AMAICO,N/A
Annona spraguei,ANNOSP,N/A
Apeiba membranacea,APEIME,N/A
Aspidosperma spruceanum,ASPICR,N/A
Bixa orellana,BIXAOR,N/A
Brosimum guianense,BROSGU,N/A
Brosimum utile,BROSUT,N/A
Byrsonima spicata,BYRSSP,N/A
Carapa guianensis,CARAGU,N/A
Cassipourea elliptica,CASSEL,N/A
Cecropia insignis,CECRIN,N/A
Cecropia obtusifolia,CECROB,N/A
Cespedesia spathulata,CESPMA,N/A
Clusia rosea,CLUSRO,N/A
Cupania scrobiculata,CUPASC,N/A
Cymbopetalum lanugipetalum,CYM1LA,N/A
Davilla nitida,DAVINI,N/A
Dendropanax arboreus,DENDAR,N/A
Diospyros artanthifolia,DIO2AR,N/A
Doliocarpus multiflorus,DOLIMU,N/A
Guatteria dumetorum,GUATDU,N/A
Guatteria genus,NA,Identified only to Genus classification
Inga multijuga,INGAM2,N/A
Inga pezizifera,INGAPE,N/A
Jacaranda copaia,JAC1CO,N/A
Licania hypoleuca,LICAHY,N/A
Lonchocarpus heptaphyllus,LONCLA,N/A
Luehea seemannii,LUEHSE,N/A
Manilkara bidentata,MANIBI,N/A
Manilkara zapota,MANIZA,N/A
Maranthes panamensis,MARAPA,N/A
Marila laxiflora,MAR1LA,N/A
Maripa panamensis,MAR2PA,N/A
Melastomataceae family,NA,Identified only to Family classification
Miconia minutiflora,MICOBO,N/A
NA,NA,Species not identified
Nectandra umbrosa,NECTUM,N/A
Ocotea insularis,OCOTIR,N/A
Oenocarpus mapora,OENOMA,N/A
Pera arborea,PERAAR,N/A
Perebea xanthochyma,PEREXA,N/A
Persea americana,PERSAM,N/A
Philodendron fragrantissimum,PHILFR,N/A
Philodendron genus,NA,Identified only to Genus classification
Philodendron grandipes,NA,No STRI code associated with this species
Philodendron guttiferum,NA,No STRI code associated with this species
Philodendron pterotum,NA,No STRI code associated with this species
Pourouma bicolor,POURBI,N/A
Pouteria reticulata,POUTRE,N/A
Protium panamense,PROTPA,N/A
Salacia multiflora,NA,No STRI code associated with this species
Sloanea meianthera,SLOAM1,N/A
Socratea exorrhiza,SOCREX,N/A
Solanum aturense,SOLAAT,N/A
Stromanthe jacquinii,NA,No STRI code associated with this species
Swartzia simplex,NA,No STRI code associated with this species
Symphonia globulifera,SYMPGL,N/A
Tachigali versicolor,TACHVE,N/A
Tapirira guianensis,TAPIGU,N/A
Terminalia amazonia,TERMAM,N/A
Theobroma bernoullii,THEOBE,N/A
Tontelea ovalifolia,TONTOV,N/A
Tovomita longifolia,TOVOLO,N/A
Tovomita stylosa,TOVOST,N/A
Unonopsis genus,NA,Identified only to Genus classification
Virola elongata,VIROEL,N/A
Virola multiflora,VIROSP,N/A
Virola sebifera,VIROSE,N/A
Virola surinamensis,VIROSU,N/A
Vochysia ferruginea,VOCHFE,N/A
Xylopia macrantha,XYL1MA,N/A
